Date,symbol,Open,High,Low,Close,Trades,Volume,vwap,lastSize,turnover,homeNotional,foreignNotional
2015-09-26 00:00:00+00:00,XBTUSD,239.99,239.99,234.81,235.2,153,190090,235.91,24,44844188670,448.4418867,105792.6607
2015-09-27 00:00:00+00:00,XBTUSD,235.2,235.36,232.91,234.51,146,258488,233.99,200,60483729840,604.8372984,141526.7109
2015-09-28 00:00:00+00:00,XBTUSD,234.51,234.76,233.03,233.29,101,161013,233.55,1000,37604645900,376.046459,87825.99886
2015-09-29 00:00:00+00:00,XBTUSD,233.29,243.19,232.9,240.07,262,319143,237.981,50,75949944400,759.499444,180755.7593
2015-09-30 00:00:00+00:00,XBTUSD,240.07,241.5,235.81,237,285,368771,238.266,9000,87865511830,878.6551183,209360.6577
2015-10-01 00:00:00+00:00,XBTUSD,237,238.2,235.56,236.55,159,294736,236.892,1576,69820453660,698.2045366,165400.0596
2015-10-02 00:00:00+00:00,XBTUSD,236.55,239.53,234.63,238.1,67,180356,237.689,2000,42868604320,428.6860432,101895.5606
2015-10-03 00:00:00+00:00,XBTUSD,238.1,238.99,237.09,238,68,133911,238.023,9,31873923980,318.7392398,75867.55001
2015-10-04 00:00:00+00:00,XBTUSD,238,241,237.53,239.67,121,127411,238.941,5000,30443690010,304.4369001,72743.08981
2015-10-05 00:00:00+00:00,XBTUSD,239.67,239.93,238.3,238.58,62,148659,239.124,5000,35547938950,355.4793895,85003.81006
2015-10-06 00:00:00+00:00,XBTUSD,238.58,240.85,237.77,240.85,146,255736,239.134,2000,61155122910,611.5512291,146243.958
2015-10-07 00:00:00+00:00,XBTUSD,240.85,249,240.68,247.09,475,536943,245.107,459,1.32E+11,1316.083809,322612.9566
2015-10-08 00:00:00+00:00,XBTUSD,247.09,247.8,243.43,243.43,258,428099,245.154,7510,1.05E+11,1049.502695,257294.7542
2015-10-09 00:00:00+00:00,XBTUSD,243.43,245.73,243,243.19,136,393019,243.826,8,95828243890,958.2824389,233654.9454
2015-10-10 00:00:00+00:00,XBTUSD,243.19,244.91,242.99,244.4,149,466508,243.998,80,1.14E+11,1138.271914,277737.1722
2015-10-11 00:00:00+00:00,XBTUSD,244.4,246.08,243.77,246,142,300969,245.076,9980,73760371520,737.6037152,180770.782
2015-10-12 00:00:00+00:00,XBTUSD,246,248.56,245.18,248.13,188,657289,246.464,10,1.62E+11,1619.980879,399275.6435
2015-10-13 00:00:00+00:00,XBTUSD,248.13,248.41,245.7,246.38,219,710444,246.742,1000,1.75E+11,1752.962507,432533.5261
2015-10-14 00:00:00+00:00,XBTUSD,246.38,251.49,244.47,250.76,395,1284157,248.669,15000,3.19E+11,3193.298665,794135.3279
2015-10-15 00:00:00+00:00,XBTUSD,250.76,255.55,249.99,253.32,360,1196167,251.986,10,3.01E+11,3014.16776,759547.8449
2015-10-16 00:00:00+00:00,XBTUSD,253.32,257.18,253.04,254.86,432,3508869,255.19,1580,8.95E+11,8954.273676,2285068.309
2015-10-17 00:00:00+00:00,XBTUSD,254.86,267.55,254.88,263.89,1338,4632494,262.635,2000,1.22E+12,12166.54044,3195747.914
2015-10-18 00:00:00+00:00,XBTUSD,263.89,278.51,263,273.91,1765,9988015,269.93,10000,2.70E+12,26960.66489,7278356.806
2015-10-19 00:00:00+00:00,XBTUSD,273.91,275.05,262,265.63,763,3216612,268.353,371,8.63E+11,8631.875668,2316826.475
2015-10-20 00:00:00+00:00,XBTUSD,265.63,270.69,261.55,265.35,625,2241882,265.23,7560,5.95E+11,5946.139692,1577146.108
2015-10-21 00:00:00+00:00,XBTUSD,265.35,274.49,264.68,271.85,1013,2770928,268.625,50,7.44E+11,7443.409462,1999627.112
2015-10-22 00:00:00+00:00,XBTUSD,271.85,273.45,263.88,268.37,1190,2806074,267.67,10000,7.51E+11,7511.012028,2010591.897
2015-10-23 00:00:00+00:00,XBTUSD,268.37,280,267.65,276.9,715,2263003,275.151,12500,6.23E+11,6226.668305,1713458.056
2015-10-24 00:00:00+00:00,XBTUSD,276.9,282.38,275.47,279.8,744,1898945,278.949,5000,5.30E+11,5297.085717,1477644.73
2015-10-25 00:00:00+00:00,XBTUSD,279.8,286.9,278.35,285.39,905,2753916,282.253,100,7.77E+11,7772.99701,2194011.069
2015-10-26 00:00:00+00:00,XBTUSD,285.39,299.51,282.9,285.79,1651,5663816,290.884,2500,1.65E+12,16475.11676,4793381.788
2015-10-27 00:00:00+00:00,XBTUSD,285.79,292.29,281.01,289.32,924,3596017,285.923,10000,1.03E+12,10281.84466,2939942.403
2015-10-28 00:00:00+00:00,XBTUSD,289.32,305.32,286.89,296.51,1576,4671955,295.18,10000,1.38E+12,13790.66734,4071259.247
2015-10-29 00:00:00+00:00,XBTUSD,296.51,310.36,296.6,306.99,1662,4231430,303.953,2151,1.29E+12,12861.54722,3909606.414
2015-10-30 00:00:00+00:00,XBTUSD,306.99,322,303.14,316.6,1889,5642264,313.133,5000,1.77E+12,17667.78499,5533545.117
2015-10-31 00:00:00+00:00,XBTUSD,316.6,336.81,300,333,2708,7526523,327.324,3510,2.46E+12,24636.11147,8065343.29
2015-11-01 00:00:00+00:00,XBTUSD,333,338.7,307.53,317.73,1759,5842767,324.745,5000,1.90E+12,18974.10932,6165125.47
2015-11-02 00:00:00+00:00,XBTUSD,317.73,335,314,331.38,1312,2599899,323.196,1081,8.40E+11,8402.781972,2716580.375
2015-11-03 00:00:00+00:00,XBTUSD,331.38,380,326.95,371.98,2911,3855966,346.339,2500,1.34E+12,13354.72813,4631941.38
2015-11-04 00:00:00+00:00,XBTUSD,371.98,440,365.18,422,4136,6102534,397.441,201,2.43E+12,24253.96292,9659266.248
2015-11-05 00:00:00+00:00,XBTUSD,422,558,382,424,6073,5738641,469.848,100,2.70E+12,26962.88234,12756637.87
2015-11-06 00:00:00+00:00,XBTUSD,424,472.73,375,402,4258,3820602,410.745,795,1.57E+12,15692.9308,6460819.238
